"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
116067,71273,106725,24024,17581,89553.3,280.72,39.44,2254.5,25967,4516.98,4666.74,405.75,1309.62,136.4
80379.4,47415,111099,23158.2,16503,91964.8,386.86,208.22,1752,17524.3,3624.66,19347.9,265.5,2227.68,137.7
109438,70371,101919,24279.1,18115,87836.2,367.72,364.24,2540.25,23847.7,4593.42,19507.8,341.25,3279.12,137.8
105949,54327,127809,43772,28019,102382,1075.9,343.94,3234.75,29532.4,5482.62,11584.6,573.75,12416,138.2
165024,100767,107327,28689.2,19899,94485.9,684.4,161.24,2782.5,29073.7,5244.72,14660.1,508.5,5589.48,138.8
87205.2,58223,98158.5,12823.2,10155,82755.4,185.02,53.36,931.5,7275.06,1587.3,6345.3,198.75,808.86,138.8
83273.5,39350,138689,47378,30022,103423,1030.66,221.56,2423.25,7618.26,2874.3,14235,684.75,7846.8,138.8
111959,67026,109470,29338.9,21922,87708.9,395.56,197.2,1065,2888.34,1528.02,11830.3,329.25,3623.1,139.1
64274.3,38562,109234,18322.2,14134,84955.7,176.32,145,1227.75,12547.1,2331.42,8505.9,249.75,637.26,139.8
83304.1,45615,119685,24612.9,17551,91905.4,495.32,197.2,1395,11898.1,2464.8,9473.1,328.5,3284.58,140
56107.5,31578,116444,20673.1,14910,90867.4,217.5,40.6,1301.25,8567.52,2107.56,5289.96,261.75,989.04,140.4
140374,92576,99373.3,20388.4,15396,86787.2,1433.18,461.1,1579.5,6915.48,2361.06,18852.6,432,12872.3,140.6
107675,81193,86911.5,17684.2,13853,83660.5,609,182.7,2167.5,29381.8,4582.5,12180.5,240.75,6045.78,141.2
162311,105398,100924,23989.7,18038,87159.8,1772.48,569.56,1651.5,6484.14,3047.46,38454,446.25,15366.8,141.3
85682,45839,122500,31540.1,22875,90361.1,1211.62,352.64,1954.5,7047.3,2605.2,13796.6,540,10453.6,141.5
123743,75347,107630,19503.1,14963,85421.1,173.42,185.6,1209,4842.24,1848.6,16142.1,291.75,1180.14,143.1
88078.4,50843,113532,23489.7,16911,91030.7,993.54,181.54,1314.75,8112,2240.16,16478.3,295.5,8722.74,144
33944.2,16259,136821,30714.8,18867,106690,625.82,245.92,2376.75,18141.2,3915.6,16099.2,477.75,5452.2,144.2
123835,61334,132319,39014,25094,101890,397.3,178.06,2055.75,13270.9,3410.94,11727.3,528.75,4172.22,145.1
123048,73211,110148,22954.6,17375,86581.5,248.24,270.28,1617.75,13760,3231.54,23134,384,3531.06,145.3
86078.5,49362,114283,18440.8,13158,91847.8,124.12,147.32,1735.5,16881.5,3156.66,9475.44,372,1196.52,145.5
73748,53017,91162.3,13083.7,10493,81716.8,282.46,115.42,1294.5,14573.5,2783.82,11339.6,221.25,710.58,146
92743.2,47129,128966,40365.8,26317,100521,531.86,497.06,4764.75,47506.7,8979.36,33820,625.5,6800.82,146.3
150054,81954,119993,33281,23442,93042.7,1947.64,614.22,2850,21094.3,5035.68,32187.5,573.75,21460.1,146.4
81607.5,51142,104576,16236.5,12614,84356.6,183.28,52.2,1293.75,12583,2219.1,3953.04,293.25,2659.02,146.5
91980.9,51535,116970,23766.6,17163,90751.5,592.76,198.94,1318.5,8147.88,1843.14,5419.44,380.25,5078.58,147.2
92932.9,45206,134727,39354.9,25314,101887,636.26,250.56,3192,27962.2,5735.34,23673.8,541.5,5275.92,148.2
93273.6,49519,123443,44704.1,26827,109208,926.84,348.58,2188.5,9721.14,3138.72,19007,605.25,11033.9,148.7
56853.4,36389,102392,19730.1,14309,90364.9,249.98,124.12,1501.5,13310.7,2579.46,7282.08,277.5,3842.28,149
117990,76509,101068,20850.2,16141,84656.3,1168.12,274.92,2105.25,20989,4235.4,18094.4,338.25,10544.8,149.2
78046.3,47998,106564,13106.3,10186,84325.3,670.48,285.36,2592.75,38156,6134.7,15120.3,263.25,7270.38,150
100513,57560,114441,53444,29928,117031,1942.42,443.7,2292,2999.88,2651.22,16553.9,811.5,22879,150.1
96787.1,57939,109478,19698.1,14179,91045.6,222.14,81.2,2048.25,19372.1,3520.14,4704.18,397.5,1790.1,150.7
103465,60440,112189,21989,16536,87147.4,762.7,226.2,1232.25,8721.96,2259.66,12591.5,385.5,6269.64,151.2
74279.1,39318,123810,27880.3,18530,98605.8,1235.98,401.94,1498.5,3805.62,1763.58,14086,448.5,13646.9,151.3
127731,76010,110130,27935.7,20046,91329.6,834.62,186.18,2057.25,11048.7,3201.12,9968.4,570.75,5541.12,151.3
53077.4,25673,135492,25245.5,15581,106186,1114.18,269.12,1987.5,15882.4,3285.36,13399.6,366,9564.36,151.6
99454.1,69182,94212.7,14873,11482,84891.1,480.24,169.94,2125.5,28816.3,4716.66,6866.34,261.75,6025.5,151.6
58890.7,36410,106000,14895.7,11662,83707.9,429.78,135.72,923.25,5961.54,1751.1,13610.2,227.25,3085.68,152.1
134290,73182,120259,34055.6,23786,93831.1,1820.62,367.72,2941.5,36795.7,6354.66,17574.2,333,18429.1,152.1
126478,74611,111094,29396.6,20743,92876.5,704.7,265.06,1719.75,13071.2,3010.02,12346.6,420.75,5016.96,153.2
146732,83646,114963,24460.8,17914,89486.6,388.02,148.48,2161.5,15290.3,3648.06,10471.5,545.25,2043.6,153.4
132805,72048,120802,37581.2,26564,92716.5,706.44,151.38,2778,5729.88,3297.06,5452.98,857.25,3134.04,154.2
87516.7,53388,107430,21414.1,16952,82786.4,338.14,30.16,3878.25,58571.8,8921.64,5479.5,363.75,1676.22,155.3
106629,72323,96622.4,14971.3,12023,81607,173.42,141.52,1152,10284.3,2191.02,11765.5,219,717.6,156.4
116384,74812,101953,40660.6,27496,96913.5,1478.42,415.28,3215.25,8669.7,3007.68,19700.5,741.75,13362.2,156.5
66124.6,38482,112612,29075.3,18962,100489,1008.04,421.08,1825.5,4636.32,2184,25464.7,452.25,8771.88,156.5
137852,77419,116693,32448.8,22271,95485.8,401.94,295.22,3633,46027,7892.82,22763.5,544.5,1998.36,156.8
116111,56721,134155,59613.1,29553,132196,964.54,194.3,3693.75,21870.4,5470.92,17199.8,900,8548.02,157.4
68986,37163,121655,28834.3,20511,92130.2,756.9,282.46,3562.5,47445.1,7839.78,21386,430.5,5998.2,158
83316.3,47570,114783,25318,18370,90323.5,2012.6,249.4,2925,32902,5635.5,13820.8,463.5,16745,158.5
148535,94411,103107,34116.4,23915,93491.7,1786.98,354.38,2510.25,24459.2,4717.44,18037.5,399,20281.6,158.9
129074,71515,118283,35013.4,24207,94792.4,1999.26,346.26,5564.25,76536.7,12386.4,15197.5,564,17871.4,158.9
94404.4,63206,97884.5,31831,22850,91294.4,1076.48,362.5,2882.25,34067.3,5936.58,16116.4,437.25,11817,159.2
