"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
112183,67322,109207,34202.2,25386,88295.8,941.34,290.58,3348,23653.5,5170.62,15001,738.75,8802.3,109.8
75458.9,42045,117619,43045.9,27545,102416,603.2,169.36,3203.25,12656.3,4294.68,10803,918.75,4622.28,110.5
180290,98806,119583,28244.6,19810,93439.5,2142.52,363.08,4344,38879.1,7537.14,16032.9,855,15758.3,110.6
72857.9,35867,133126,52021.3,31051,109796,1356.04,223.3,4413.75,31420.7,6464.64,13930.8,933.75,11455.9,110.9
92496.3,61247,98973.6,21801,17119,83459.9,676.86,295.8,2337,17134.3,4109.82,14258.4,399,8795.28,111.1
51960.8,32607,104435,34465.9,22623,99843.3,733.12,220.4,4292.25,37873.7,7161.96,18346.4,766.5,5540.34,111.3
60879,30856,129303,27470.8,18488,97378.2,275.5,143.26,2061,8436.48,2492.88,6450.6,546.75,2067.78,112.3
44851.4,23063,127450,24533.3,16131,99672.5,743.56,152.54,4518.75,30987.1,6529.38,4851.6,976.5,4046.64,113.6
85444,50432,111034,29653.3,20624,94227.9,343.94,161.82,2303.25,15940.1,3514.68,11891.9,518.25,1882.14,114.3
55681.1,29072,125520,21623.9,16304,86920.2,460.52,69.6,2940.75,19773,4151.94,3836.82,603,2826.72,114.8
113100,65543,113088,53840.3,33751,104544,712.24,187.34,3227.25,11965.2,4033.38,11927,919.5,5073.12,115.3
119575,59608,131466,28422.4,18428,101079,623.5,305.66,5495.25,66545.7,11542.4,25230.7,718.5,2697.24,115.6
106604,56588,123461,96265.3,69612,90628.6,437.32,122.38,2951.25,10283.5,3188.64,8087.04,1417.5,1940.64,115.9
95357.1,50144,124628,27652.6,19972,90738.9,517.36,229.68,4439.25,55271.6,9287.46,15620.3,597,4006.08,116.9
81806.7,45304,118340,27058.2,18764,94504.7,1443.04,450.08,5078.25,54883.9,9430.98,23552.9,639.75,13181.2,117.2
80384.8,45118,116763,42366.5,31134,89180,759.8,244.76,3718.5,22048.3,5570.76,14288.8,1086.75,2612.22,117.9
119916,69324,113364,32575.9,22968,92950.9,363.66,91.06,3608.25,34752.1,6385.08,11527.6,702,2022.54,118.7
125472,67005,122721,41176.2,27725,97331.8,385.12,170.52,4490.25,49911.4,8428.68,8764.86,642.75,3208.92,118.7
48065.8,28411,110874,30877.9,20843,97088.3,501.12,169.36,3747.75,23878.1,5357.04,12305.3,755.25,2401.62,120.4
74967.3,56727,86608.8,14830.1,12743,76270,487.78,126.44,1641.75,8010.6,2219.1,6177.6,364.5,2253.42,121.2
87877.8,51934,110894,46040.3,28862,104542,657.14,279.56,2959.5,12579.1,4034.94,20248,762.75,2738.58,121.3
40919,19791,135499,34178.8,24923,89874.5,664.1,146.74,3897.75,19393.1,4960.02,5031.78,1054.5,4776.72,121.7
56894.2,34942,106709,43232.3,27626,102558,341.04,64.96,2582.25,8498.88,2861.82,4733.04,751.5,2162.16,122.9
119522,69527,112661,29583.8,20935,92610.8,275.5,261.58,2181,16303.6,4057.56,21277.6,513.75,1843.92,123.7
123268,67990,118819,32630.5,22486,95102.5,506.34,205.9,4469.25,40856.4,7731.36,8030.1,847.5,2189.46,124.4
43345.9,21318,133254,16788.7,12166,90437.7,410.06,85.84,2216.25,19698.1,3748.68,5672.16,355.5,3587.22,125.3
89713.8,56135,104738,27885,21299,85800.8,376.42,215.18,2037,9587.76,2838.42,13345.8,508.5,4610.58,125.7
107924,64676,109359,29435.6,20868,92442.7,164.72,157.18,2325.75,17722.4,3765.06,10976.9,483,1411.8,127
81588.4,42474,125888,29870.1,20282,96517.4,504.02,256.94,3042,24007.6,5241.6,16085.9,630.75,2588.04,127.4
146904,79451,121176,26220.5,17275,99472.4,1050.38,205.9,3566.25,20638.8,5240.82,13341.9,825.75,10144.7,128
66338.1,35391,122843,37901,25359,97948.6,1405.34,269.12,4581.75,39153.7,7586.28,13104.8,879.75,12329.5,128.5
72281.3,40367,117349,25282.1,17739,93403.8,778.94,188.5,3778.5,16450.2,4690.14,11314.7,1074.75,3998.28,128.6
71303.4,41999,111263,32254.6,19499,108407,1468.56,405.42,5273.25,54437,9157.98,20677,844.5,11144.6,129.2
63926.1,37016,113180,20709.8,15480,87676.8,167.04,86.42,1914,5187.78,2238.6,7356.18,564,1970.28,129.9
34956.8,16878,135734,28675.1,17226,109094,755.74,211.12,3051.75,23589.5,4793.88,8603.4,613.5,6492.72,130.8
140696,86429,106685,29406.8,21309,90440.8,298.7,120.06,2432.25,13618,3488.16,8270.34,552.75,1919.58,131.1
74233.6,44466,109409,25747,19938,84630.2,129.34,85.84,2102.25,20030.4,3889.08,1687.92,423,1170.78,132.1
56146.2,31031,118578,45832.8,26999,111252,1088.66,323.06,4534.5,32147.7,7863.96,27247.7,879.75,5009.94,133.5
63601.1,34066,122355,32771.7,22198,96753.1,915.82,370.04,4932,37717.7,8207.16,24460,1062,11060.4,133.6
93520.4,51210,119683,57837,32686,115964,361.92,302.76,3810,22785.4,5359.38,24262.7,841.5,2925.78,134
62775.6,33327,123445,28640.8,19435,96578.6,609,203,2709.75,13134.4,3556.8,15279.4,746.25,3183.18,134.1
68250.9,43393,103079,20042.9,15909,82565.2,537.08,53.36,1187.25,9445.02,1916.46,6437.34,202.5,5276.7,135.2
76398,40095,124874,31915.3,22879,91420,691.94,175.16,3536.25,19868.2,5470.14,13865.3,894,4605.12,136
96708.2,63165,100338,24980.3,17641,92801.3,524.9,131.66,2587.5,11833.4,3325.92,7676.76,676.5,3310.32,136.5
96392,55266,114304,33263.1,24246,89908.9,835.2,157.76,2286.75,10790.5,3132.48,13257.7,610.5,2173.08,136.6
64964.5,39678,107302,33277.1,22250,98015.8,1044,201.26,2813.25,11956.6,3238.56,6154.98,620.25,7716.54,136.9
114194,68523,109216,29529.2,19915,97174.4,1082.86,338.72,4959.75,54600.8,9534.72,21132.5,723.75,10927.8,137
56081,30461,120657,23428.1,17209,89219.8,287.68,111.36,2059.5,16235.7,3232.32,6658.08,408.75,1468.74,137.1
139911,84824,108097,28044.9,20328,90414.7,969.18,153.12,4432.5,45181.5,7907.64,8761.74,828,7840.56,137.1
61352.3,29528,136169,36652.2,23468,102354,676.28,181.54,3393.75,13624.3,4199.52,11890.3,999.75,4765.02,137.2
120748,78096,101328,43751.8,26432,108479,700.06,267.96,5133.75,55574.2,9554.22,15153.8,879,3788.46,137.3
184354,108345,111513,45967.7,31613,95294.4,1111.28,398.46,7605,92053.3,15548.5,35841,981,3251.04,137.9
168270,94587,116588,61634,40319,100182,573.04,170.52,4704,33426.1,7377.24,13846.6,961.5,3603.6,138.2
116966,57464,133396,47948.2,28044,112050,505.76,273.18,4255.5,40681.7,7393.62,13240.5,785.25,4495.14,139.4
117169,64886,118343,28119,19686,93610,1330.52,359.02,5425.5,61406.3,10716.4,12403.6,898.5,11162.6,139.4
54824.3,28718,125112,33333.3,21486,101672,410.06,214.6,3057,25829.7,4981.08,11726.5,681.75,2159.04,139.7
72017.4,40018,117940,23852.4,16450,95026.8,787.64,174,3056.25,23595,4913.22,10280.4,574.5,3240.9,139.9
43785.2,27628,103862,17905.7,13612,86208.3,825.34,95.7,2979.75,16319.9,4055.22,10161.1,621.75,4419.48,140.1
95534.6,64066,97726.6,20298.7,15650,85003,660.62,211.12,2183.25,23880.5,4208.88,12364.6,308.25,4257.24,140.1
86565.4,50531,112271,25910,19623,86533.2,327.12,220.98,2513.25,10047.2,3024.84,8938.8,708.75,2247.96,140.9
84008.6,40778,135014,39086.6,26586,96350.6,1035.88,318.42,4788.75,43492.8,8272.68,21096.7,858,8733.66,141
73142.8,36064,132916,32954.2,20544,105125,2349.58,418.18,4917.75,51632.9,9082.32,21538.9,670.5,23256.5,141.9
145449,81318,117221,37975.9,25634,97089.3,353.22,334.08,4771.5,47690.8,9045.66,26688.5,704.25,2662.14,142.4
81930.5,59006,90997.5,45848.4,34926,86031.1,226.2,158.34,2149.5,3744,2164.5,7122.96,850.5,1686.36,142.8
91691.2,48719,123342,41747.9,27087,101008,2004.48,475.02,4461,42204.2,7938.06,23675.3,732,21524.1,145.2
102138,63979,104624,30594.7,19563,102492,1222.06,240.12,4917,44668.3,8184.54,11820.9,855,10879.4,145.3
135947,78925,112885,34933.9,24685,92745.6,1862.96,586.96,5469.75,55327.7,10108.8,24980.3,919.5,18116.3,145.9
129526,73598,115337,36739.6,25962,92741.9,520.84,216.34,3215.25,14344.2,4396.08,11473,825.75,4492.02,146.3
103086,58118,116244,28402.9,21538,86424.6,722.68,296.38,3699.75,38031.2,6899.88,7540.26,686.25,5799.3,146.7
53434.4,29757,117682,26540.3,20105,86513,752.26,142.1,2652.75,21023.3,4290,7454.46,482.25,5920.98,146.9
67499.5,39890,110896,23758,18274,85203.3,1872.82,572.46,1948.5,5603.52,2644.98,24170.6,492,21113.8,147.2
63943.8,36563,114614,30083,20899,94335.7,1702.3,406,4668.75,49146.2,8824.92,19365.1,709.5,18053.9,147.7
134749,79787,110681,33396.5,22591,96882.5,335.24,192.56,2146.5,10933.3,2936.7,10789.7,481.5,2764.32,148.6
79585.8,44354,117593,24655,17702,91277.3,1038.78,157.76,4225.5,44385.9,8045.7,14529.8,695.25,8071.44,150.1
112948,61007,121333,27876.4,19551,93443.3,359.02,199.52,3711,36429.9,6743.1,15952.6,660.75,2326.74,150.7
141157,80311,115188,31623.5,22599,91706.7,418.76,287.68,3383.25,27352.3,5772,19894.7,617.25,2547.48,151
37487,25902,94847.9,27703.3,17550,103451,2186.02,336.98,2114.25,4265.04,2372.76,19805,552,21665.3,151.5
78051.1,47446,107810,35375.3,22342,103767,530.12,127.6,3225.75,20897.8,4607.46,7309.38,678.75,2978.82,151.8
39427.1,21784,118614,31494.1,19816,104158,158.92,205.9,3654,32855.2,6409.26,12639.9,705.75,2131.74,152.8
95459.1,55359,113008,24736.9,17999,90069.4,689.62,226.2,2665.5,22296.3,4453.8,7900.62,442.5,7567.56,153.7
50104.4,27367,119986,29175.1,19719,96963.4,984.26,379.32,4503.75,34972.9,7148.7,23629.3,862.5,11428.6,155.1
65303.8,44111,97022.3,39315.9,29243,88110.2,798.08,137.46,3630.75,32880.1,5788.38,8250.84,702,7066.02,155.5
47581,27662,112727,24329,17230,92537.7,356.7,110.78,2401.5,6843.72,2669.94,6628.44,641.25,2226.12,156.2
103531,57236,118545,37451.7,25168,97522,156.02,203,3249,31233.5,5804.76,17808.2,560.25,2052.18,156.7
140176,77706,118222,30557.3,20542,97488.2,2805.46,490.68,6229.5,74539.1,12584.5,24657.4,773.25,23352.4,156.8
57547,31134,121135,30287.4,20894,94999.3,1006.3,299.86,4069.5,31317.8,6876.48,17228.6,783,7193.94,157.4
58202.6,28466,133997,51779.5,30566,111020,396.72,151.96,3081,11725.7,3613.74,8264.88,840.75,2503.02,158.6
59089.3,27625,140180,32623.5,19433,110020,628.72,319.58,2820,11335.7,3687.84,21888.4,687,2605.2,158.9
80428.4,39037,135025,35823.1,20877,112454,850.28,284.2,7087.5,89179.7,14732.6,22820.5,850.5,5406.18,159.2
70614.6,36989,125113,38865.1,26425,96388.3,880.44,197.2,3485.25,41893.8,6732.18,11972.2,449.25,1759.68,159.9
117048,61872,123979,22246.4,15572,93625.7,497.64,133.98,3036.75,23477.2,4811.82,9367.8,664.5,2331.42,159.9
44956.2,23464,125565,31436.3,20684,99604.1,547.52,410.64,4350.75,42964.7,8090.94,26927.2,711.75,7783.62,160.4
82048.8,43574,123403,30516.7,22722,88017.9,1296.3,375.84,4104.75,32855.9,6746.22,15354.3,859.5,10421.6,160.4
51401.9,24314,138549,45711.9,30094,99547.3,2276.5,657.72,6360,69987.8,12235.1,30784.3,916.5,18492.2,162.1
