"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","APC-Cy7-A","AmCyan-A","FITC-A","PE-A","PE-Cy7-A","Pacific Blue-A","PerCP-Cy5-5-A","Time"
90476.7,48659,121858,29515.2,19463,99383.9,738.34,187.92,3280.5,25720.5,5596.5,11063.5,734.25,3201.12,91
129379,70980,119456,27696.2,20240,89678.9,331.18,99.18,3277.5,29986.3,5810.22,6537.96,615.75,1700.4,91.3
71631.9,37347,125699,28070.6,20611,89255.1,388.6,64.96,2145.75,10311.6,2744.04,6379.62,558,1677.78,91.5
89432.2,58862,99572.4,13330.2,10750,81265.9,286.52,86.42,1553.25,16181.9,2940.6,4247.1,249.75,2674.62,92.2
42364.7,27193,102100,19656.8,14653,87915.6,113.68,31.32,1694.25,9989.46,2359.5,6153.42,448.5,1272.18,92.4
101176,57438,115440,27427.9,20670,86962.6,315.52,138.04,2618.25,19702.8,4059.12,5709.6,603,2310.36,92.5
57294.1,39894,94120,14816.1,12150,79916.7,331.18,110.2,1110.75,6732.96,1533.48,4962.36,284.25,2789.28,92.7
95011.6,52970,117551,26784.4,19786,88716.5,729.64,273.18,2566.5,24909.3,4810.26,13710.1,470.25,7980.18,92.9
144071,81583,115733,31068.2,22811,89258.9,1475.52,278.98,2237.25,12656.3,3480.36,17738.8,570,9345.96,92.9
70411.3,37271,123809,21184.8,15171,91514.5,281.88,90.48,2475.75,9675.12,2797.08,5245.5,704.25,2287.74,93.3
95978.6,56147,112028,24088.7,18035,87534.2,348.58,164.14,2559,17584.3,4026.36,9004.32,728.25,4896.84,94
124397,67309,121120,43339.9,24781,114617,2025.94,501.12,4372.5,44252.5,8443.5,25598.8,780.75,19907.2,94.3
120842,67928,116587,29200.9,20680,92539,547.52,187.34,2579.25,20921.9,4576.26,16751.3,592.5,1826.76,94.5
158022,86551,119654,33687.4,23443,94174.8,731.38,113.68,4421.25,49989.4,8457.54,7345.26,715.5,5591.04,94.7
96522.6,55347,114292,24073.1,18071,87303.3,167.62,160.66,2268,15253.7,3567.72,9721.14,558.75,1652.82,95
120541,62509,126378,39499.2,27261,94956.9,534.76,177.48,8894.25,131350,20329.1,12887.2,818.25,3579.42,95
96010.6,56255,111850,23874.2,17195,90992.9,1012.68,238.38,3561.75,48859.2,8151.78,15025.9,381.75,8451.3,95.2
138740,78639,115623,36171.7,22875,103631,1662.86,385.7,5080.5,64254.8,10963.7,19466.5,810.75,17061.7,95.5
139620,72871,125567,37167.8,24515,99360.7,1501.62,474.44,4470.75,43775.9,8291.4,26656.5,739.5,15209.2,95.7
78234,41192,124469,23902.3,16488,95006.2,674.54,230.26,1515,5004.48,1926.6,11892.7,482.25,5165.16,95.8
127063,67431,123493,31281.9,22647,90523.7,2643.64,570.72,4324.5,49206.3,9196.98,28902.9,623.25,25489.6,96.3
146732,94742,101499,24840.7,18758,86787.4,567.24,100.34,2466,18287.1,3605.16,5307.12,612,4999.8,96.8
102466,63142,106351,24702.6,19122,84662.1,276.08,20.3,2451,23230,4162.08,5916.3,433.5,1776.06,97.3
62134.3,48643,83712.7,10967.6,9331,77030.5,292.9,198.36,1824,22190.2,4197.18,16630.4,267,958.62,97.3
175118,98290,116762,28429.4,21330,87348.9,360.76,185.6,3683.25,36795.7,6766.5,6821.88,714,2767.44,98.1
75973.7,40127,124081,35684.2,22475,104053,730.8,258.1,3308.25,21737,4728.36,11892.7,751.5,5923.32,98.2
104915,59259,116028,22506.9,16155,91303.8,645.54,274.34,3009,12500.3,4073.16,12163.3,940.5,9534.72,98.5
116105,61743,123238,32185.9,22111,95397.6,398.46,104.4,3120.75,20412.6,4516.2,8243.82,708,2293.98,99
79362.1,43767,118836,28243.8,19655,94173.8,342.78,190.82,2311.5,8015.28,3017.82,11363.8,670.5,2010.84,99
89973.5,48507,121560,20938.3,15355,89365.9,662.94,81.2,2281.5,22558.4,4056,4620.72,436.5,9075.3,99.7
139723,93199,98250.9,23513.1,17887,86149.4,469.22,96.86,2396.25,18539.8,3834.48,7899.84,506.25,5183.88,99.9
86325.3,45726,123724,32359.1,19210,110395,1433.76,276.08,4175.25,30807.7,6655.74,17589,965.25,10934.8,100.3
99857.3,70851,92366.4,9811.62,8195,78464.2,330.02,179.8,1418.25,14952.6,2753.4,7733.7,252,2340,100.3
