"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
80699.7,48318,109457,19702,15290,84446.8,868.84,245.92,2269.5,26867.9,4518.54,9000.42,399,9217.26,207.7
145631,80832,118073,24587.2,17668,91201.3,260.42,150.22,7254.75,111902,17076.5,14424.5,644.25,3262.74,208.2
144210,80147,117920,36770,24243,99400.1,897.26,324.8,2575.5,18322.2,4404.66,20049.1,624,12037.7,208.7
107020,60826,115307,20311.2,14842,89685.7,440.8,236.06,4581,66293.8,10820.2,11976.9,512.25,1830.66,210.4
146290,76533,125269,44183.9,27333,105939,1832.8,364.24,3665.25,28902.1,6266.52,17479,783.75,18132.7,210.9
71019.9,44438,104738,16289.5,12338,86525.4,95.12,122.96,1287.75,12211.7,2435.16,10225,285.75,620.88,211.1
78737.2,45740,112814,16880.8,13224,83658.3,518.52,393.82,3182.25,45667.4,7530.12,25598.8,290.25,6442.8,211.5
139756,77728,117834,27941.9,19652,93181.5,604.94,71.34,2940.75,36699,5976.36,8918.52,466.5,3610.62,212.1
76619.7,41732,120324,33817.7,20688,107129,1108.38,283.62,4380.75,58621.7,9377.16,16595.3,551.25,9789,213
104515,53178,128803,42961.6,24366,115552,2610.58,737.76,2973.75,24158.2,5261.88,26889.7,669,30387.2,213.2
71670.6,48630,96586.6,9266.4,7462,81383.4,106.72,139.78,2001,27888.9,4417.14,9971.52,258,1082.64,213.5
132327,80401,107861,24010.7,17457,90139.6,1109.54,486.62,6415.5,103322,15797.3,22262,437.25,11033.1,213.9
167863,95266,115477,33072.8,21426,101160,1739.42,592.76,10345.5,160974,25129.3,46151.8,790.5,14980.7,215.2
114786,71354,105427,29654.8,21118,92028.5,163.56,120.64,2355.75,12950.3,3387.54,7942.74,564,1843.92,215.3
92115.5,50950,118486,31553.3,20406,101337,501.7,306.24,6313.5,62269,10492.6,31800.6,642,5421,215.8
104179,55746,122475,27335.1,19234,93138.9,1016.74,311.46,4907.25,66743,10557.3,17713.8,543.75,11898.9,217.1
